Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return,MA_7,MA_21,Volatility_7,Volume_Change,Target
2022-05-09,3003.764404296875,3445.10009765625,3456.0,3346.85009765625,3398.0,2481830,0.0036415544031869196,3506.3214285714284,3579.642845517113,0.012585256458238329,0.23424268405002557,0
2022-05-10,2998.227783203125,3438.75,3464.800048828125,3422.0,3434.0,1622685,-0.0018432258791464262,3485.528564453125,3564.566650390625,0.011720241138710388,-0.34617399257805737,0
2022-05-11,2974.90478515625,3412.0,3448.449951171875,3382.14990234375,3435.0,1841769,-0.007778989458378738,3466.285714285714,3551.607131231399,0.011585179656919685,0.13501326505144262,0
2022-05-12,2971.984619140625,3408.64990234375,3449.699951171875,3350.10009765625,3378.0,2807195,-0.0009818574608001507,3447.1785714285716,3538.4166550409227,0.011599580090610812,0.5241840860607383,1
2022-05-13,2977.433349609375,3414.89990234375,3439.89990234375,3382.14990234375,3435.0,2187823,0.001833570527645767,3437.9142717633927,3525.011893136161,0.010450181029709358,-0.22063732658401003,0
2022-05-16,2944.214111328125,3376.800048828125,3430.0,3366.60009765625,3415.0,1195813,-0.011156945915010819,3418.4000069754466,3510.0452241443454,0.009259305325069763,-0.45342333452020567,1
2022-05-17,3009.432373046875,3451.60009765625,3467.0,3350.39990234375,3370.0,1754076,0.0221511631563982,3421.1142926897323,3500.028564453125,0.010737272231535451,0.4668480774167867,0
2022-05-18,3006.990478515625,3448.800048828125,3495.0,3443.050048828125,3465.0,1866781,-0.0008112321094284614,3421.6428571428573,3496.2547549293154,0.010675210669667881,0.06425320225577447,0
2022-05-19,2844.076171875,3261.949951171875,3405.0,3230.0,3397.0,4642963,-0.05417829245268657,3396.3857073102677,3486.2571382068454,0.023257584515792337,1.4871492692501156,1
2022-05-20,2871.149169921875,3293.0,3313.89990234375,3270.050048828125,3310.0,3065125,0.009518861200482176,3379.3857073102677,3473.6952311197915,0.024098804122340126,-0.33983428254758874,1
2022-05-23,2896.21630859375,3321.75,3338.89990234375,3267.0,3304.800048828125,2293690,0.008730640753112695,3366.971435546875,3459.0809500558034,0.024629273683019988,-0.25168141592920357,0
2022-05-24,2866.78955078125,3288.0,3324.85009765625,3275.60009765625,3315.14990234375,1711510,-0.01016030706705806,3348.8428780691966,3443.6261858258927,0.024620395246059367,-0.2538180835248006,0
2022-05-25,2780.46142578125,3167.64990234375,3292.85009765625,3154.050048828125,3292.85009765625,3548046,-0.03660282775433399,3318.964285714286,3425.5047549293154,0.0273822547760545,1.0730501136423394,1
2022-05-26,2832.512939453125,3226.949951171875,3241.5,3180.550048828125,3191.0,2813186,0.018720518572538314,3286.871407645089,3410.297607421875,0.02676033588798555,-0.20711681866582343,1
2022-05-27,2862.664306640625,3261.300048828125,3278.89990234375,3229.199951171875,3253.199951171875,3103153,0.01064475686825439,3260.085693359375,3396.0166596912204,0.027696691480195598,0.10307423682614658,1
2022-05-30,2962.68603515625,3375.25,3386.60009765625,3286.35009765625,3297.0,2094624,0.03494003908435861,3276.271414620536,3386.0618954613096,0.022772059955697654,-0.32500137763107395,0
2022-05-31,2953.11865234375,3364.35009765625,3383.39990234375,3325.0,3354.14990234375,4840965,-0.003229361482482762,3286.464285714286,3377.3785691034227,0.022870539319362802,1.311137941702186,0
2022-06-01,2945.086669921875,3355.199951171875,3388.0,3340.050048828125,3388.0,1493835,-0.0027197367154950802,3291.242850167411,3368.464285714286,0.02282615329035159,-0.6914179301027791,1
2022-06-02,3004.599853515625,3423.0,3432.0,3346.300048828125,3355.0,2657939,0.020207454045904072,3310.528564453125,3365.7619047619046,0.023090324839546164,0.7792721418362805,1
